Title,Abstract,PCE ID,Decision,Publication Year,Publication Type,Reason
"Ziprasidone Augmentation of SSRI Antidepressants in Posttraumatic Stress Disorder: A Randomized, Placebo-Controlled Pilot Study of Augmentation Therapy","Background Posttraumatic stress disorder (PTSD) is often a chronic, disabling illness for which antidepressant medications (ie, SSRI) are considered the primary psychopharmacological treatment. However, many patients remain refractory to antidepressants alone or in combination with psychotherapy. Safe and effective treatments for individuals with refractory PTSD are needed. This study aimed to examine ziprasidone augmentation of SSRI treatment of PTSD. Methods This was a 2-phase study. In phase 1, subjects were treated with paroxetine or sertraline for 8 weeks. Individuals refractory to the SSRI treatment then entered into phase II of the study and were randomized, in a double-blind fashion, to 8 weeks of treatment with either ziprasidone or placebo. The primary outcome measure was change in Clinician Administered PTSD Scale total scores with the intent-to-treat sample. Secondary outcome measures included Positive and Negative Syndrome Scale scores, measures of depression and anxiety, and safety measures. Results No significant differences were observed on the Clinician Administered PTSD Scale, Positive and Negative Syndrome Scale, or other outcome measures between ziprasidone and placebo groups. No significant differences were observed for safety measures including metabolic profiles, extrapyramidal symptoms/movement disorder rating scales, nor study dropout. Conclusions Although no significant differences were noted in efficacy or safety measures between ziprasidone and placebo in this pilot study, the small sample size prevents definitive conclusions.",546,Exclude,2019,Article,Intervention
"World Federation of Societies of Biological Psychiatry (WFSBP) guidelines for treatment of anxiety, obsessive-compulsive and posttraumatic stress disorders–Version 3. Part II: OCD and PTSD","Aim: This is the third version of the guideline of the World Federation of Societies of Biological Psychiatry (WFSBP) Task Force for the Pharmacological Treatment of Anxiety, Obsessive–Compulsive and Posttraumatic Stress Disorders which was published in 2002 and revised in 2008. Method: A consensus panel of 34 international experts representing 22 countries developed recommendations based on efficacy and acceptability of the treatments. In this version, not only medications but also psychotherapies and other non-pharmacological interventions were evaluated, applying the same rigorous methods that are standard for the assessment of medication treatments. Result: The present paper (Part II) contains recommendations based on published randomised controlled trials (RCTs) for the treatment of OCD (n = 291) and PTSD (n = 234) in children, adolescents, and adults. The accompanying paper (Part I) contains the recommendations for the treatment of anxiety disorders. For OCD, first-line treatments are selective serotonin reuptake inhibitors (SSRIs) and cognitive behavioural therapy (CBT). Internet-CBT was also superior to active controls. Several second-line medications are available, including clomipramine. For treatment-resistant cases, several options are available, including augmentation of SSRI treatment with antipsychotics and other drugs. Other non-pharmacological treatments, including repetitive transcranial magnetic stimulation (rTMS), deep brain stimulation (DBS) and others were also evaluated. For PTSD, SSRIs and the SNRI venlafaxine are first-line treatments. CBT is the psychotherapy modality with the best body of evidence. For treatment-unresponsive patients, augmentation of SSRI treatment with antipsychotics may be an option. Conclusion: OCD and PTSD can be effectively treated with CBT and medications.",545,Exclude,2023,Article,Review
"World Federation of Societies of Biological Psychiatry (WFSBP) guidelines for treatment of anxiety, obsessive-compulsive and posttraumatic stress disorders–Version 3. Part I: Anxiety disorders","Aim: This is the third version of the guideline of the World Federation of Societies of Biological Psychiatry (WFSBP) Task Force for the Pharmacological Treatment of Anxiety, Obsessive–Compulsive and Posttraumatic Stress Disorders (published in 2002, revised in 2008). Method: A consensus panel of 33 international experts representing 22 countries developed recommendations based on efficacy and acceptability of available treatments. In total, 1007 RCTs for the treatment of these disorders in adults, adolescents, and children with medications, psychotherapy and other non-pharmacological interventions were evaluated, applying the same rigorous methods that are standard for the assessment of medications. Result: This paper, Part I, contains recommendations for the treatment of panic disorder/agoraphobia (PDA), generalised anxiety disorder (GAD), social anxiety disorder (SAD), specific phobias, mixed anxiety disorders in children and adolescents, separation anxiety and selective mutism. Selective serotonin reuptake inhibitors (SSRI) and serotonin-norepinephrine reuptake inhibitors (SNRIs) are first-line medications. Cognitive behavioural therapy (CBT) is the first-line psychotherapy for anxiety disorders. The expert panel also made recommendations for patients not responding to standard treatments and recommendations against interventions with insufficient evidence. Conclusion: It is the goal of this initiative to provide treatment guidance for these disorders that has validity throughout the world.",544,Exclude,2023,Article,Review
"World Federation of Societies of Biological Psychiatry (WFSBP) guidelines for the pharmacological treatment of anxiety, obsessive-compulsive and post-traumatic stress disorders - First revision","In this report, which is an update of a guideline published in 2002 (Bandelow et al. 2002, World J Biol Psychiatry 3:171), recommendations for the pharmacological treatment of anxiety disorder, obsessive-compulsive disorder (OCD) and post-traumatic stress disorder (PTSD) are presented. Since the publication of the first version of this guideline, a substantial number of new randomized controlled studies of anxiolytics have been published. In particular, more relapse prevention studies are now available that show sustained efficacy of anxiolytic drugs. The recommendations, developed by the World Federation of Societies of Biological Psychiatry (WFSBP) Task Force for the Pharmacological Treatment of Anxiety, Obsessive-Compulsive and Post-traumatic Stress Disorders, a consensus panel of 30 international experts, are now based on 510 published randomized, placebo- or comparator-controlled clinical studies (RCTs) and 130 open studies and case reports. First-line treatments for these disorders are selective serotonin reuptake inhibitors (SSRIs), serotonin-noradrenaline reuptake inhibitors (SNRIs) and the calcium channel modulator pregabalin. Tricyclic antidepressants (TCAs) are equally effective for some disorders, but many are less well tolerated than the SSRIs/SNRIs. In treatment-resistant cases, benzodiazepines may be used when the patient does not have a history of substance abuse disorders. Potential treatment options for patients unresponsive to standard treatments are described in this overview. Although these guidelines focus on medications, non-pharmacological were also considered. Cognitive behavioural therapy (CBT) and other variants of behaviour therapy have been sufficiently investigated in controlled studies in patients with anxiety disorders, OCD, and PTSD to support them being recommended either alone or in combination with the above medicines.",543,Exclude,2008,Article,Review
Withdrawal symptoms of benzodiazepines in panic disorder patients' pharmacotherapy,"[Purpose] This study compared the withdrawal symptoms of long-acting benzodiazepine (ethyl loflazepate; loflazepate) with those of short-acting benzodiazepine (alprazolam) in combined pharmacotherapy with fluvoxamine (FLV) to treat panic disorder patients. [Methods] The subjects were thirty-two patients meeting the Structured Clinical Interview for Diagnostic and Statistical Manual of Mental Disorders 4th Edition (DSM-IV) criteria for panic disorder. All subjects were outpatients at the Department of Neuropsychiatry, Osaka City University Medical School Hospital. All subjects gave informed consent to participate in this study. The subjects were allocated into two groups; FLV and loflazepate group (n=16) or FLV and alprazolam group (n=16). Based on clinical status, FLV was gradually increased to 150 mg/day and then remained constant for 20 weeks of the trial. The dosages for benzodiazepines (BZs) were increased from 1 to 2 mg/day for loflazepate, and from 0.8 to 1.6 mg/day for alprazolam. After 12 weeks, the respective BZ was gradually reduced by 0.5 mg/day (loflazepate) or 0.4 mg/day (alprazolam) every 2 weeks, then discontinued. To evaluate symptoms of panic disorder, efficacy and side effects, Hamilton Anxiety Scale (HAM-A), Sheehan Disability Scale were used. To evaluate safety and withdrawal symptoms during the tapering of benzodiazepines, the Benzodiazepine Withdrawal Symptom Questionnaire (BWSQ) was used. [Results] Either combination therapy using FLV with loflazepate or alprazolam was effective in the treatment of patients with panic disorder. However, patients treated with FLV and long-acting loflazepate had significantly fewer withdrawal symptoms than patients treated with FLV and short-acting alprazolam. [Conclusions] In combined pharmacotherapy for patients with panic disorder, longer-acting loflazepate combined with FLV had the same effects on the symptoms of panic disorder and fewer withdrawal symptoms than shorter-acting alprazolam during tapering and after discontinuation of BZs. These findings suggested that longer-acting BZs are better suited to the treatment of patients with panic disorder with combined pharmacotherapy using FLV and BZs.",541,Exclude,2009,Article,Disease
"Why psychiatric drugs ""work"": The attribution of positive effects due to psychological factors","While outcome research has attempted to elucidate the real benefit of any treatment through randomized, double-blind studies, the role of placebo and other psychological reactions has been given scant but growing attention. This article examines the nature and power of the placebo in the context of antidepressant therapy. Other factors influencing patient reports of positive response are considered, including emotional blunting, victimization, and rebound. It is concluded that the attribution of healing properties to antidepressant drugs is complex and multifaceted, and that the modest advantage of these drugs over placebo may well derive from psychological, not physiological, factors. © 2008 Springer Publishing Company.",540,Exclude,2008,Article,Review
Where are we going with SSRIs?,"During the past decade the selective serotonin reuptake inhibitors (SSRls) have become established as the treatment of choice for depression. As newer antidepressants become available on the market, it is important to reappraise the position of the SSRIs in the management of depression. This review will address the question: where are we going with the SSRIs? The continued establishment of the SSRIs as first-line treatment for depression will be discussed, focusing on the more rapid onset of antidepressant efficacy seen with pindolol augmentation and the use of SSRIs for treatment of depression in patients with physical illnesses, particularly ischaemic heart disease. The SSRIs have well-documented efficacy in panic disorder and obsessive-compulsive disorder, and paroxetine has recently been licensed for social anxiety disorder/social phobia in some countries. Results will be presented from studies with the SSRIs in new therapeutic areas, including post-traumatic stress disorder and generalized anxiety disorder. Copyright (C) 1999 Elsevier Science B.V.",539,Exclude,1999,Conference Paper,Review
When do you prescribe antidepressants to depressed children? Topical collection on mood disorders,"Major depressive disorder (MDD) in children and adolescents is a public health problem that requires evidence-based management. Our objective is to review available studies, with a PubMed search, and briefly summarize safety and efficacy results of (mostly SSRI) antidepressants in children and adolescents with MDD. Fluoxetine and escitalopram are safe and effective in the treatment of MDD in children and adolescents both in reduction of symptoms, and in remission/response rates. However, response rates are lower than for non-OCD anxiety. Sertraline also had positive results in one study that pooled results from two studies. The number needed to treat (NNT) for MDD is 10, and the number needed to harm (NNH) for suicidality is 112. Methodological limitations in the studies include, mainly, high placebo response rates, associated with multiple study sites, younger patients, and lower MDD severity. Treatment should be maintained close to 1 year after remission, to prevent relapse. FDA-approved fluoxetine and escitalopram are safe and effective in the treatment of pediatric MDD. Sertraline also has some data supporting its efficacy and safety, but is not FDA-approved. The possible modest increase in suicidal ideation in some patients should be known by clinicians, but the risk/benefit ratio is 1 to 11.2 times favorable to using SSRIs in moderate to severe MDD. © 2013 Springer Science+Business Media New York.",538,Exclude,2013,Article,Review
WCA Recommendations for the Long-Term Treatment of Posttraumatic Stress Disorder,"Posttraumatic stress disorder (PTSD) is a common and disabling condition. In addition to combat-related PTSD, the disorder occurs in civilians exposed to severe traumatic events, with the community prevalence rate for the combined populations reaching as high as 12%. If left untreated, PTSD may continue for years after the stressor event, resulting in severe functional and emotional impairment and a dramatic reduction in quality of life, with negative economic consequences for both the sufferer and society as a whole. Although PTSD is often overlooked, diagnosis is relatively straight-forward once a triggering stressor event and the triad of persistent symptoms-reexperiencing the traumatic event, avoiding stimuli associated with the trauma, and hyperarousal-have been identified. However, comorbid conditions of anxiety and depression frequently hamper accurate diagnosis. Treatment for PTSD includes psychotherapy and pharmacotherapy. The latter includes selective serotonin reuptake inhibitors (SSRIs), tricyclic antidepressants, and monoamine oxidase inhibitors. Only SSRIs have been proven effective and safe in long-term randomized controlled trials. Current guidelines from the Expert Consensus Panel for PTSD recommend treatment of chronic PTSD for a minimum of 12-24 months.",537,Exclude,2003,Conference Paper,Review
War trauma and PTSD in Ukraine's civilian population: comparing urban-dwelling to internally displaced persons,"INTRODUCTION: War in Ukraine started in March 2014 when Russia annexed Crimea and continues today in the Donbass region of Eastern Ukraine. Over 1.5 million people in these regions have been displaced from their homes. We conducted this study 36 months after the conflict began and interviewed civilians residing in Ukraine. PURPOSE: This study examines the prevalence of exposure to war trauma, rates of PTSD by symptom clusters, and whether socio-demographic factors are associated with positive scores for PTSD among civilian urban-dwelling and internally displaced persons in Ukraine during the ongoing conflict in its Donbass region. METHODS: Face-to-face interviews were conducted using a multi-stage random sample of the general population in two large cities (Kharkiv and Lviv) in Ukraine (n = 1247) and a purposive sample of internally displaced persons (n = 300), half living in each city. Exposure to trauma, symptom clusters for Posttraumatic Stress Disorder (PTSD), and overall PTSD were assessed. RESULTS: We found widespread direct exposure to conflict-related traumatic events (65%) among internally displaced people (IDPs) compared to a sizable minority (23%) of urban-dwelling people (UDPs). We found elevated prevalence of PTSD symptoms that were also uniformly spread within several socio-demographic factors. There were, however, significant differences in PTSD between (1) IDPs compared to UDPs and (2) those UDPs with Ukrainian compared to Russian ethnic identity, the former of each pair showing increased likelihoods of positive PTSD scores. CONCLUSIONS: Ukraine's adult civilians, enduring the prolonged engagement in war with Russia and Russian separatists, have elevated rates of PTSD. Moreover, those who have been displaced by the ongoing conflict (IDPs) have significantly higher levels of PTSD compared to UDPs.",536,Exclude,2022,Article,Study design
