Title,Abstract,PCE ID,Decision,Publication Year,Publication Type,Reason
Venlafaxine extended release in posttraumatic stress disorder: A sertraline- and placebo-controlled study,"This 12-week, double-blind, multicenter trial evaluated the efficacy of venlafaxine extended release (ER), sertraline, and placebo in adult outpatients (N = 538) with a primary diagnosis of posttraumatic stress disorder (PTSD), as defined in the Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition, symptoms for 6 months or more and 17-item Clinician-administered PTSD Scale (CAPS-SX17) score of 60 or more. Patients were randomly assigned to receive placebo or flexible doses of venlafaxine ER (37.5-300 mg/d) or sertraline (25-200 mg/d) for 12 weeks or less. The primary outcome was the baseline-to-end point change in total CAPS-SX17 score (last observation carried forward). Secondary measures included CAPS-SX17 symptom cluster scores for reexperiencing/intrusion, avoidance/numbing, and hyperarousal; frequency of remission (CAPS-SX17 ≤20); and changes in Davidson Trauma Scale total score and symptom cluster scores for avoidance/numbing, hyperarousal, and reexperiencing/intrusion. Mean changes in CAPS-SX17 scores were -41.8, -39.4, and -33.9 for venlafaxine ER (P < 0.05 vs. placebo), sertraline, and placebo, respectively. Mean changes for venlafaxine ER, sertraline, and placebo in CAPS-SX17 cluster scores were -13.0, -11.7, and -11.0 for reexperiencing; -17.1, -16.8, and -13.7 (P < 0.05 both active treatments vs. placebo) for avoidance/numbing; and -11.8, -10.9, and -9.2 (P < 0.05 venlafaxine vs. placebo) for hyperarousal. Week 12 remission rates were venlafaxine ER 30.2% (P < 0.05 vs. placebo), sertraline 24.3%, and placebo 19.6%. The venlafaxine ER group had significantly better Davidson Trauma Scale total and cluster scores than placebo. Mean maximum daily doses were 225-mg venlafaxine ER and 151-mg sertraline. Both treatments were generally well tolerated. Study results suggest that venlafaxine ER is effective and well tolerated in the short-term treatment of PTSD. Copyright © 2006 by Lippincott Williams & Wilkins.",527,Include,2006,Article,
Treatment of posttraumatic stress disorder with venlafaxine extended release: A 6-month randomized controlled trial,"Context: No large-scale posttraumatic stress disorder drug trials have been conducted to evaluate treatment effects beyond 12 weeks outside of those with selective serotonin reuptake inhibitors. Objective: To evaluate the efficacy of venlafaxine extended release (ER), a serotonin norepinephrine reuptake inhibitor, in posttraumatic stress disorder. Design: 6-month, double-blind, placebo-controlled trial. Setting: International study at 56 sites. Patients: Adult outpatients (N = 329) with a primary diagnosis of posttraumatic stress disorder as defined in the DSM-IV, symptoms for 6 months or longer, and a 17-item Clinician-Administered Posttraumatic Stress Disorder Scale score of 60 or higher. Intervention: Patients randomly assigned to receive flexible doses of venlafaxine ER (37.5-300 mg/d) or placebo for 24 weeks. Main Outcome Measures: Primary measure was the change from baseline in the Clinician-Administered Posttraumatic Stress Disorder Scale score. Secondary measures included remission, defined as a Clinician-Administered Posttraumatic Stress Disorder Scale score of 20 or lower, and changes in symptom cluster scores, frequency of remission, and time to remission. Measures of stress vulnerability, resilience, depression, quality of life, functioning, and global illness severity were also taken. Results: Mean changes from baseline in Clinician-Administered Posttraumatic Stress Disorder Scale total scores at end point were -51.7 for venlafaxine ER and -43.9 for placebo (P = .006). Improvement was significantly greater for the venlafaxine ER group than for the placebo group in cluster scores for reexperiencing (P = .008) and avoidance/numbing (P = .006), but not for hyperarousal. Remission rates were 50.9% for venlafaxine ER and 37.5% for placebo (P = .01). The venlafaxine ER group also showed significantly greater improvement at end point than the placebo group (P = .05) on all other reported outcome measures. The mean maximum daily dose of venlafaxine ER was 221.5 mg/d. Withdrawal rates were similar between groups with no significant difference in dropouts attributable to adverse events. Conclusion: In this study, venlafaxine ER was effective and well tolerated in short-term and continuation treatment of patients with posttraumatic stress disorder. ©2006 American Medical Association. All rights reserved.",509,Include,2006,Article,
Tolerability of fluoxetine in posttraumatic stress disorder,"Purpose: In response to earlier reports that raised concerns about the tolerability of fluoxetine in the treatment of posttraumatic stress disorder (PTSD), this study was conducted to systematically delineate treatment-emergent symptoms (TES) associated with fluoxetine treatment of PTSD. Methods: Sixty-five patients with PTSD enrolled in one of two identical-protocol, 12-week studies and received double-blind fluoxetine or placebo. TES data were obtained using a patient-rated checklist, Severity of Symptoms Scale (SOSS). Results: Only a single patient discontinued treatment due to medication side effects. Compared to placebo, only three statistically significant TES (nausea, diarrhea, and thirst) occurred more frequently in fluoxetine subjects. Fluoxetine was not associated with any statistically significant activating effects. There were no statistically significant associations between the total number of TES experienced and treatment, gender, or comorbid depressive or panic disorders. Conclusions: This systematic assessment of TES indicated that PTSD patients tolerated fluoxetine well without pronounced activating side effects. © 2001 Elsevier Science Inc. All rights reserved.",489,Include,2002,Article,
Symptom-specific effects of fluoxetine in post-traumatic stress disorder,"The selective serotonin reuptake inhibitors have become a first line treatment for post-traumatic stress disorder (PTSD). In a recent double-blind study in civilians, fluoxetine produced clinically and statistically significant effects on all general measures of PTSD. We examined the specific effects of fluoxetine versus placebo in the above mentioned study of PTSD clusters and individual symptoms. Individuals were included if they met criteria for PTSD according to the Structured Clinical Interview for DSM-III-R (SCID). Symptoms were assessed at sequential time points by the Structured Interview for PTSD (STP), a clinician interview based assessment, and a self-report scale, the Davidson Trauma Scale (DTS). A total of 53 patients were included in the analysis. On the SIP and DTS, fluoxetine was found to produce statistically significant changes on all clusters. Significant effects for fluoxetine were noted on 10 items of the DTS, and 8 items of the SIP. The SIP and DTS had 6 items in common that were significant. Fluoxetine exerts a broad spectrum effect in reducing all the symptom clusters of PTSD in this sample. The symptoms of being physically upset at reminders of the trauma, avoiding thoughts of the trauma, having difficulty enjoying things, feeling distant/estranged, having a sense of foreshortened future, and impaired concentration, were the symptoms most responsive to the effects of treatment with fluoxetine on both scales. (C) 2000 Lippincott Williams and Wilkins.",444,Include,2000,Article,
Sertraline in the treatment of co-occurring alcohol dependence and posttraumatic stress disorder,"Background: Posttraumatic stress disorder (PTSD) frequently co-occurs with alcohol use disorders. This study investigated the use of sertraline, a serotonin reuptake inhibitor, in treating co-occurring symptoms of alcohol dependence and PTSD. Methods: A total of 94 individuals with current alcohol dependence and PTSD were randomly assigned to receive sertraline (150 mg/day) or placebo for 12 weeks. Post hoc cluster analysis of baseline characteristics was used to define subgroups of participants. Results: There was a significant decrease in alcohol use during the trial in both the sertraline and the placebo groups. Cluster analysis revealed significant medication group by cluster interactions for alcohol-related outcomes. Sertraline-treated participants with less severe alcohol dependence and early-onset PTSD had significantly fewer drinks per drinking day (p < 0.001). For participants with more severe alcohol dependence and later onset PTSD, the placebo group had significantly greater decreases in drinks per drinking day (p < 0.01) and average number of drinks consumed per day (p < 0.05). Conclusions: There may be subtypes of alcohol-dependent individuals who respond differently to serotonin reuptake inhibitor treatment. Further investigation of differential responders may lead to improvements in the pharmacological treatment of co-occurring alcohol dependence and PTSD. Copyright © 2005 by the Research Society on Alcoholism.",419,Include,2005,Article,
"Remission in post-traumatic stress disorder (PTSD): Effects of sertraline as assessed by the Davidson Trauma Scale, Clinical Global Impressions and the Clinician-Administered PTSD scale","Rates of remission were examined in two controlled 12-week studies of sertraline and placebo for post-traumatic stress disorder (PTSD). The performance of three scales was evaluated: the self-rated Davidson Trauma Scale (DTS), and two interviewer scales: the Clinician Administered PTSD Scale (CAPS) and Clinical Global Impressions (CGI). Sertraline proved significantly superior to placebo with respect to remission on all three ratings. Rates of remission were very similar for all scales, ranging from 23.1-26.3% for sertraline and 13.9-14.9% for placebo. Traditional thresholds for the CAPS and DTS were tested relative to the CGI and to each other. The CAPS and DTS thresholds of < 20 and < 18 were found to be valid. © 2004 Lippincott Williams & Wilkins.",394,Include,2004,Article,
"Ziprasidone Augmentation of SSRI Antidepressants in Posttraumatic Stress Disorder: A Randomized, Placebo-Controlled Pilot Study of Augmentation Therapy","Background Posttraumatic stress disorder (PTSD) is often a chronic, disabling illness for which antidepressant medications (ie, SSRI) are considered the primary psychopharmacological treatment. However, many patients remain refractory to antidepressants alone or in combination with psychotherapy. Safe and effective treatments for individuals with refractory PTSD are needed. This study aimed to examine ziprasidone augmentation of SSRI treatment of PTSD. Methods This was a 2-phase study. In phase 1, subjects were treated with paroxetine or sertraline for 8 weeks. Individuals refractory to the SSRI treatment then entered into phase II of the study and were randomized, in a double-blind fashion, to 8 weeks of treatment with either ziprasidone or placebo. The primary outcome measure was change in Clinician Administered PTSD Scale total scores with the intent-to-treat sample. Secondary outcome measures included Positive and Negative Syndrome Scale scores, measures of depression and anxiety, and safety measures. Results No significant differences were observed on the Clinician Administered PTSD Scale, Positive and Negative Syndrome Scale, or other outcome measures between ziprasidone and placebo groups. No significant differences were observed for safety measures including metabolic profiles, extrapyramidal symptoms/movement disorder rating scales, nor study dropout. Conclusions Although no significant differences were noted in efficacy or safety measures between ziprasidone and placebo in this pilot study, the small sample size prevents definitive conclusions.",546,Exclude,2019,Article,Intervention
"World Federation of Societies of Biological Psychiatry (WFSBP) guidelines for treatment of anxiety, obsessive-compulsive and posttraumatic stress disorders–Version 3. Part II: OCD and PTSD","Aim: This is the third version of the guideline of the World Federation of Societies of Biological Psychiatry (WFSBP) Task Force for the Pharmacological Treatment of Anxiety, Obsessive–Compulsive and Posttraumatic Stress Disorders which was published in 2002 and revised in 2008. Method: A consensus panel of 34 international experts representing 22 countries developed recommendations based on efficacy and acceptability of the treatments. In this version, not only medications but also psychotherapies and other non-pharmacological interventions were evaluated, applying the same rigorous methods that are standard for the assessment of medication treatments. Result: The present paper (Part II) contains recommendations based on published randomised controlled trials (RCTs) for the treatment of OCD (n = 291) and PTSD (n = 234) in children, adolescents, and adults. The accompanying paper (Part I) contains the recommendations for the treatment of anxiety disorders. For OCD, first-line treatments are selective serotonin reuptake inhibitors (SSRIs) and cognitive behavioural therapy (CBT). Internet-CBT was also superior to active controls. Several second-line medications are available, including clomipramine. For treatment-resistant cases, several options are available, including augmentation of SSRI treatment with antipsychotics and other drugs. Other non-pharmacological treatments, including repetitive transcranial magnetic stimulation (rTMS), deep brain stimulation (DBS) and others were also evaluated. For PTSD, SSRIs and the SNRI venlafaxine are first-line treatments. CBT is the psychotherapy modality with the best body of evidence. For treatment-unresponsive patients, augmentation of SSRI treatment with antipsychotics may be an option. Conclusion: OCD and PTSD can be effectively treated with CBT and medications.",545,Exclude,2023,Article,Review
"World Federation of Societies of Biological Psychiatry (WFSBP) guidelines for treatment of anxiety, obsessive-compulsive and posttraumatic stress disorders–Version 3. Part I: Anxiety disorders","Aim: This is the third version of the guideline of the World Federation of Societies of Biological Psychiatry (WFSBP) Task Force for the Pharmacological Treatment of Anxiety, Obsessive–Compulsive and Posttraumatic Stress Disorders (published in 2002, revised in 2008). Method: A consensus panel of 33 international experts representing 22 countries developed recommendations based on efficacy and acceptability of available treatments. In total, 1007 RCTs for the treatment of these disorders in adults, adolescents, and children with medications, psychotherapy and other non-pharmacological interventions were evaluated, applying the same rigorous methods that are standard for the assessment of medications. Result: This paper, Part I, contains recommendations for the treatment of panic disorder/agoraphobia (PDA), generalised anxiety disorder (GAD), social anxiety disorder (SAD), specific phobias, mixed anxiety disorders in children and adolescents, separation anxiety and selective mutism. Selective serotonin reuptake inhibitors (SSRI) and serotonin-norepinephrine reuptake inhibitors (SNRIs) are first-line medications. Cognitive behavioural therapy (CBT) is the first-line psychotherapy for anxiety disorders. The expert panel also made recommendations for patients not responding to standard treatments and recommendations against interventions with insufficient evidence. Conclusion: It is the goal of this initiative to provide treatment guidance for these disorders that has validity throughout the world.",544,Exclude,2023,Article,Review
"World Federation of Societies of Biological Psychiatry (WFSBP) guidelines for the pharmacological treatment of anxiety, obsessive-compulsive and post-traumatic stress disorders - First revision","In this report, which is an update of a guideline published in 2002 (Bandelow et al. 2002, World J Biol Psychiatry 3:171), recommendations for the pharmacological treatment of anxiety disorder, obsessive-compulsive disorder (OCD) and post-traumatic stress disorder (PTSD) are presented. Since the publication of the first version of this guideline, a substantial number of new randomized controlled studies of anxiolytics have been published. In particular, more relapse prevention studies are now available that show sustained efficacy of anxiolytic drugs. The recommendations, developed by the World Federation of Societies of Biological Psychiatry (WFSBP) Task Force for the Pharmacological Treatment of Anxiety, Obsessive-Compulsive and Post-traumatic Stress Disorders, a consensus panel of 30 international experts, are now based on 510 published randomized, placebo- or comparator-controlled clinical studies (RCTs) and 130 open studies and case reports. First-line treatments for these disorders are selective serotonin reuptake inhibitors (SSRIs), serotonin-noradrenaline reuptake inhibitors (SNRIs) and the calcium channel modulator pregabalin. Tricyclic antidepressants (TCAs) are equally effective for some disorders, but many are less well tolerated than the SSRIs/SNRIs. In treatment-resistant cases, benzodiazepines may be used when the patient does not have a history of substance abuse disorders. Potential treatment options for patients unresponsive to standard treatments are described in this overview. Although these guidelines focus on medications, non-pharmacological were also considered. Cognitive behavioural therapy (CBT) and other variants of behaviour therapy have been sufficiently investigated in controlled studies in patients with anxiety disorders, OCD, and PTSD to support them being recommended either alone or in combination with the above medicines.",543,Exclude,2008,Article,Review
